nb_item,item_90,item_86,size_cat,packing_type,teammate_experience,subgroup,time_picked,picking_to_processing,total_leadtime,carrier,item_ratio,picked_hour,picked_shift,experience_level,nb_item_x_experience_level,subgroup_median_leadtime,carrier_median_leadtime
2.0,1.0,1.0,M,STANDARD,1YEAR,VOLU,11:41:07 AM,156.6,227.7,TNT_POST_NL,1.0,11,Morning,2,4.0,266.4,169.7
3.0,1.0,2.0,S,STANDARD,1YEAR,HETS,11:00:49 AM,54.5,179.5,TNT_POST_NL,0.5,11,Morning,2,6.0,157.4,169.7
8.0,4.0,4.0,S,STANDARD,6MONTH,HETS,12:41:17 PM,541.5,209.4,TNT_POST_NL,1.0,12,Morning,1,8.0,157.4,169.7
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,2:16:43 PM,135.4,148.9,CHRONOPOSTAPI,0.0,14,Morning,2,2.0,148.9,186.5
2.0,2.0,,M,STANDARD,1YEAR,PBVO,10:39:40 PM,557.0,178.8,CC_LOG,0.0,22,Afternoon,2,4.0,257.1,170.45
2.0,1.0,1.0,L,STANDARD,6MONTH,HETE,2:01:21 PM,144.2,125.1,TNT_POST_NL,1.0,14,Morning,1,2.0,196.05,169.7
4.0,4.0,,XL,STANDARD,1YEAR,PBVO,8:40:08 AM,32.7,238.7,CC_LOG,0.0,8,Morning,2,8.0,257.1,170.45
1.0,1.0,,L,STANDARD,1YEAR,MHET,8:38:21 PM,96.0,137.5,BPOST,0.0,20,Afternoon,2,2.0,148.9,178.7
1.0,1.0,,XL,PACKSIZE,1YEAR,MHET,8:36:15 AM,40.0,133.4,TNT_POST_NL,0.0,8,Morning,2,2.0,148.9,169.7
8.0,3.0,5.0,L,PACKSIZE,1YEAR,HETE,8:04:34 PM,134.2,150.9,TNT_POST_NL,0.6,20,Afternoon,2,16.0,196.05,169.7
2.0,1.0,1.0,XL,PACKSIZE,1YEAR,HETE,4:07:51 PM,51.8,236.6,TNT_POST_NL,1.0,16,Afternoon,2,4.0,196.05,169.7
2.0,1.0,1.0,S,STANDARD,3-5YEAR,HETS,8:28:56 PM,1076.8,161.2,TNT_POST_NL,1.0,20,Afternoon,4,8.0,157.4,169.7
8.0,8.0,,XL,STANDARD,1YEAR,PBVO,6:03:26 PM,87.8,257.5,EXTRA_AT_HOME,0.0,18,Afternoon,2,16.0,257.1,279.5
3.0,1.0,2.0,S,STANDARD,6MONTH,HETS,5:01:56 PM,274.8,94.5,TNT_POST_NL,0.5,17,Afternoon,1,3.0,157.4,169.7
2.0,1.0,1.0,XL,STANDARD,6MONTH,VOLU,11:55:17 AM,115.4,405.8,EXTRA_AT_HOME,1.0,11,Morning,1,2.0,266.4,279.5
3.0,1.0,2.0,M,PACKSIZE,1YEAR,HETE,11:16:08 AM,10.9,182.1,DHL,0.5,11,Morning,2,6.0,196.05,186.1
2.0,2.0,,XL,STANDARD,1YEAR,PBVO,10:58:13 PM,529.1,400.2,EXTRA_AT_HOME,0.0,22,Afternoon,2,4.0,257.1,279.5
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,10:34:25 AM,163.4,254.2,TNT_POST_NL,0.0,10,Morning,2,2.0,148.9,169.7
3.0,1.0,2.0,S,STANDARD,1YEAR,HETS,9:46:40 PM,30.8,157.3,BPOST,0.5,21,Afternoon,2,6.0,157.4,178.7
2.0,1.0,1.0,S,STANDARD,6MONTH,HETS,1:58:10 PM,149.3,228.3,CHRONOPOSTAPI,1.0,13,Morning,1,2.0,157.4,186.5
3.0,1.0,2.0,L,PACKSIZE,6MONTH,HETE,8:30:07 AM,140.7,295.5,TNT_POST_NL,0.5,8,Morning,1,3.0,196.05,169.7
2.0,2.0,,M,STANDARD,6MONTH,PBVO,11:24:26 AM,108.4,397.6,EXTRA_AT_HOME,0.0,11,Morning,1,2.0,257.1,279.5
1.0,1.0,,L,STANDARD,1YEAR,MHET,8:50:15 PM,55.0,116.4,TNT_POST_NL,0.0,20,Afternoon,2,2.0,148.9,169.7
2.0,1.0,1.0,L,PACKSIZE,1YEAR,HETE,8:51:37 AM,209.1,208.0,TNT_POST_NL,1.0,8,Morning,2,4.0,196.05,169.7
2.0,1.0,1.0,XL,STANDARD,1YEAR,VOLU,2:26:51 PM,12.8,313.4,BLOGISTICS,1.0,14,Morning,2,4.0,266.4,290.2
2.0,2.0,,L,PACKSIZE,1YEAR,PB90,12:16:25 PM,254.6,301.1,BPOST,0.0,12,Morning,2,4.0,223.4,178.7
1.0,1.0,,XL,PACKSIZE,6MONTH,MHET,9:14:18 AM,76.1,225.5,TNT_POST_NL,0.0,9,Morning,1,1.0,148.9,169.7
8.0,3.0,5.0,L,PACKSIZE,2YEAR,HETE,10:45:36 AM,174.2,222.4,BPOST,0.6,10,Morning,3,24.0,196.05,178.7
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,1:18:18 PM,90.6,220.6,TNT_POST_NL,0.0,13,Morning,2,2.0,148.9,169.7
3.0,1.0,2.0,XL,PACKSIZE,1YEAR,HETE,8:51:02 AM,24.8,185.3,TNT_POST_NL,0.5,8,Morning,2,6.0,196.05,169.7
3.0,2.0,1.0,XL,STANDARD,1YEAR,VOLU,9:36:23 PM,631.6,142.0,CC_LOG,2.0,21,Afternoon,2,6.0,266.4,170.45
3.0,1.0,2.0,S,STANDARD,6MONTH,HETS,11:45:59 AM,91.8,129.0,CHRONOPOSTAPI,0.5,11,Morning,1,3.0,157.4,186.5
9.0,4.0,5.0,S,STANDARD,3-5YEAR,HETS,2:34:36 PM,421.6,139.6,TNT_POST_NL,0.8,14,Morning,4,36.0,157.4,169.7
3.0,2.0,1.0,XL,STANDARD,1YEAR,VOLU,8:19:08 AM,2.9,306.6,CC_LOG,2.0,8,Morning,2,6.0,266.4,170.45
1.0,1.0,,XL,STANDARD,1YEAR,MVOL,11:45:54 AM,132.3,50.8,BPOST,0.0,11,Morning,2,2.0,50.0,178.7
3.0,1.0,2.0,S,STANDARD,6MONTH,HETS,11:39:16 AM,189.7,165.0,TNT_POST_NL,0.5,11,Morning,1,3.0,157.4,169.7
1.0,1.0,,XL,PACKSIZE,6MONTH,MHET,10:27:42 AM,74.8,189.0,TNT_POST_NL,0.0,10,Morning,1,1.0,148.9,169.7
1.0,1.0,,L,PACKSIZE,6MONTH,MHET,10:36:34 AM,207.0,162.3,TNT_POST_NL,0.0,10,Morning,1,1.0,148.9,169.7
1.0,1.0,,L,STANDARD,2YEAR,MHET,1:38:09 PM,86.7,131.2,TNT_POST_NL,0.0,13,Morning,3,3.0,148.9,169.7
3.0,1.0,2.0,M,PACKSIZE,1YEAR,HETE,8:16:00 PM,127.0,214.9,TNT_POST_NL,0.5,20,Afternoon,2,6.0,196.05,169.7
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,4:49:10 PM,155.6,134.9,BPOST,0.0,16,Afternoon,2,2.0,148.9,178.7
2.0,1.0,1.0,L,PACKSIZE,1YEAR,HETE,10:49:21 PM,543.2,152.9,CC_LOG,1.0,22,Afternoon,2,4.0,196.05,170.45
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,9:17:42 AM,2.5,147.2,CC_LOG,0.0,9,Morning,2,2.0,148.9,170.45
1.0,1.0,,XL,STANDARD,2YEAR,MVOL,8:28:19 PM,684.2,46.9,CC_LOG,0.0,20,Afternoon,3,3.0,50.0,170.45
1.0,1.0,,L,STANDARD,2YEAR,MHET,3:04:01 PM,55.0,89.7,TNT_POST_NL,0.0,15,Morning,3,3.0,148.9,169.7
1.0,1.0,,L,STANDARD,1YEAR,MVOL,11:14:19 AM,30.7,43.0,TNT_POST_NL,0.0,11,Morning,2,2.0,50.0,169.7
4.0,4.0,,M,STANDARD,2YEAR,PBVO,10:39:34 AM,228.4,168.3,TNT_POST_NL,0.0,10,Morning,3,12.0,257.1,169.7
5.0,2.0,3.0,S,STANDARD,6MONTH,HETS,5:47:52 PM,231.4,142.4,BPOST,0.6666666666666666,17,Afternoon,1,5.0,157.4,178.7
2.0,1.0,1.0,XL,STANDARD,6MONTH,HETE,5:05:25 PM,293.8,187.8,BPOST,1.0,17,Afternoon,1,2.0,196.05,178.7
7.0,3.0,4.0,S,STANDARD,1YEAR,HETS,12:18:27 PM,577.9,161.6,DHL,0.75,12,Morning,2,14.0,157.4,186.1
2.0,2.0,,XL,STANDARD,6MONTH,PBVO,8:26:42 PM,721.9,255.4,CC_LOG,0.0,20,Afternoon,1,2.0,257.1,170.45
4.0,4.0,,XL,STANDARD,1YEAR,PB90,8:24:06 AM,30.4,202.2,BPOST,0.0,8,Morning,2,8.0,223.4,178.7
2.0,1.0,1.0,S,STANDARD,6MONTH,HETS,9:30:29 AM,91.2,187.7,TNT_POST_NL,1.0,9,Morning,1,2.0,157.4,169.7
3.0,1.0,2.0,S,STANDARD,1YEAR,HETS,8:18:40 AM,24.0,187.0,TNT_POST_NL,0.5,8,Morning,2,6.0,157.4,169.7
1.0,1.0,,XL,STANDARD,1YEAR,MVOL,12:20:36 PM,327.0,38.2,DHL,0.0,12,Morning,2,2.0,50.0,186.1
1.0,1.0,,XL,STANDARD,1YEAR,MHET,10:27:42 AM,77.6,120.3,TNT_POST_NL,0.0,10,Morning,2,2.0,148.9,169.7
3.0,1.0,2.0,L,PACKSIZE,2YEAR,HETE,2:39:01 PM,25.2,189.2,TNT_POST_NL,0.5,14,Morning,3,9.0,196.05,169.7
19.0,11.0,8.0,XL,STANDARD,1YEAR,VOLU,10:31:08 PM,621.2,255.8,BPOST,1.375,22,Afternoon,2,38.0,266.4,178.7
1.0,1.0,,XL,STANDARD,1YEAR,MVOL,2:32:14 PM,85.3,51.5,TNT_POST_NL,0.0,14,Morning,2,2.0,50.0,169.7
8.0,8.0,,XL,STANDARD,6MONTH,PBVO,11:53:00 AM,259.6,244.3,TNT_POST_NL,0.0,11,Morning,1,8.0,257.1,169.7
4.0,1.0,3.0,L,PACKSIZE,1YEAR,HETE,8:46:17 AM,213.2,181.9,TNT_POST_NL,0.3333333333333333,8,Morning,2,8.0,196.05,169.7
2.0,1.0,1.0,L,PACKSIZE,2YEAR,HETE,7:35:45 PM,738.3,211.5,TNT_POST_NL,1.0,19,Afternoon,3,6.0,196.05,169.7
5.0,2.0,3.0,S,STANDARD,6MONTH,HETS,5:53:22 PM,152.7,163.1,BPOST,0.6666666666666666,17,Afternoon,1,5.0,157.4,178.7
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,7:27:45 PM,57.6,187.5,DHL,0.0,19,Afternoon,2,2.0,148.9,186.1
1.0,1.0,,XL,STANDARD,1YEAR,MVOL,10:12:04 PM,40.0,47.3,TNT_POST_NL,0.0,22,Afternoon,2,2.0,50.0,169.7
1.0,1.0,,L,STANDARD,1YEAR,MHET,9:00:53 PM,39.6,124.4,BPOST,0.0,21,Afternoon,2,2.0,148.9,178.7
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,6:18:53 PM,67.6,170.1,TNT_POST_NL,0.0,18,Afternoon,2,2.0,148.9,169.7
2.0,1.0,1.0,L,PACKSIZE,2YEAR,HETE,5:11:04 PM,359.1,150.7,TNT_POST_NL,1.0,17,Afternoon,3,6.0,196.05,169.7
6.0,3.0,3.0,XL,STANDARD,1YEAR,VOLU,10:53:49 AM,612.8,286.0,TNT_POST_NL,1.0,10,Morning,2,12.0,266.4,169.7
3.0,1.0,2.0,S,STANDARD,1YEAR,HETS,5:46:37 PM,179.4,108.8,UPS_API,0.5,17,Afternoon,2,6.0,157.4,183.8
3.0,3.0,,XL,PACKSIZE,1YEAR,PB90,7:32:25 PM,4.8,260.1,DHL,0.0,19,Afternoon,2,6.0,223.4,186.1
8.0,3.0,5.0,L,STANDARD,1YEAR,HETE,7:09:20 PM,14.4,112.3,DHL,0.6,19,Afternoon,2,16.0,196.05,186.1
4.0,1.0,3.0,M,PACKSIZE,6MONTH,HETE,4:52:40 PM,45.4,153.5,DHL,0.3333333333333333,16,Afternoon,1,4.0,196.05,186.1
1.0,1.0,,L,STANDARD,1YEAR,MHET,11:47:41 AM,178.0,122.4,TNT_POST_NL,0.0,11,Morning,2,2.0,148.9,169.7
3.0,1.0,2.0,S,STANDARD,2YEAR,HETS,2:19:06 PM,278.6,168.1,TNT_POST_NL,0.5,14,Morning,3,9.0,157.4,169.7
1.0,1.0,,XL,STANDARD,1YEAR,MVOL,1:38:56 PM,75.0,63.3,TNT_POST_NL,0.0,13,Morning,2,2.0,50.0,169.7
1.0,1.0,,XL,STANDARD,1YEAR,MVOL,7:17:50 PM,3.1,39.1,TNT_POST_NL,0.0,19,Afternoon,2,2.0,50.0,169.7
1.0,1.0,,L,PACKSIZE,6MONTH,MHET,8:29:04 PM,69.1,222.5,TNT_POST_NL,0.0,20,Afternoon,1,1.0,148.9,169.7
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,11:27:29 AM,132.3,181.1,BPOST,0.0,11,Morning,2,2.0,148.9,178.7
2.0,2.0,,XL,STANDARD,1YEAR,PBVO,11:05:48 AM,274.3,200.8,TNT_POST_NL,0.0,11,Morning,2,4.0,257.1,169.7
4.0,1.0,3.0,L,PACKSIZE,6MONTH,HETE,12:08:02 PM,140.1,247.3,BPOST,0.3333333333333333,12,Morning,1,4.0,196.05,178.7
3.0,3.0,,XL,STANDARD,6MONTH,PB90,8:25:55 AM,174.7,188.4,TNT_POST_NL,0.0,8,Morning,1,3.0,223.4,169.7
3.0,1.0,2.0,L,PACKSIZE,1YEAR,HETE,4:11:10 PM,55.9,142.3,DHL,0.5,16,Afternoon,2,6.0,196.05,186.1
8.0,5.0,3.0,M,STANDARD,1YEAR,VOLU,8:51:13 AM,34.5,353.8,EXTRA_AT_HOME,1.6666666666666667,8,Morning,2,16.0,266.4,279.5
1.0,1.0,,L,STANDARD,1YEAR,MHET,3:42:10 PM,100.6,73.0,TNT_POST_NL,0.0,15,Morning,2,2.0,148.9,169.7
19.0,9.0,10.0,S,STANDARD,6MONTH,HETS,9:20:49 AM,83.4,139.0,TNT_POST_NL,0.9,9,Morning,1,19.0,157.4,169.7
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,10:18:35 PM,23.5,160.4,TNT_POST_NL,0.0,22,Afternoon,2,2.0,148.9,169.7
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,9:40:33 PM,628.3,125.2,CC_LOG,0.0,21,Afternoon,2,2.0,148.9,170.45
2.0,2.0,,XL,STANDARD,6MONTH,PBVO,9:12:57 AM,233.4,441.3,EXTRA_AT_HOME,0.0,9,Morning,1,2.0,257.1,279.5
2.0,1.0,1.0,XL,STANDARD,2YEAR,VOLU,7:50:38 PM,168.4,175.4,TNT_POST_NL,1.0,19,Afternoon,3,6.0,266.4,169.7
5.0,2.0,3.0,S,STANDARD,2YEAR,HETS,12:14:02 PM,112.1,82.6,TNT_POST_NL,0.6666666666666666,12,Morning,3,15.0,157.4,169.7
2.0,1.0,1.0,S,STANDARD,1YEAR,HETS,8:58:58 PM,839.1,195.1,TNT_POST_NL,1.0,20,Afternoon,2,4.0,157.4,169.7
2.0,1.0,1.0,L,PACKSIZE,2YEAR,HETE,7:41:46 PM,71.7,208.5,DHL,1.0,19,Afternoon,3,6.0,196.05,186.1
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,11:12:04 AM,709.4,132.7,TNT_POST_NL,0.0,11,Morning,2,2.0,148.9,169.7
1.0,1.0,,XL,STANDARD,1YEAR,MHET,3:31:45 PM,312.0,115.3,BPOST,0.0,15,Morning,2,2.0,148.9,178.7
1.0,1.0,,L,PACKSIZE,2YEAR,MHET,5:10:53 PM,266.4,152.1,BPOST,0.0,17,Afternoon,3,3.0,148.9,178.7
14.0,8.0,6.0,XL,STANDARD,1YEAR,VOLU,4:45:17 PM,256.0,158.5,BPOST,1.3333333333333333,16,Afternoon,2,28.0,266.4,178.7
1.0,1.0,,L,STANDARD,6MONTH,MVOL,5:07:41 PM,58.8,38.6,BPOST,0.0,17,Afternoon,1,1.0,50.0,178.7
1.0,1.0,,L,PACKSIZE,6MONTH,MHET,5:19:42 PM,134.8,245.4,TNT_POST_NL,0.0,17,Afternoon,1,1.0,148.9,169.7
2.0,2.0,,M,STANDARD,1YEAR,PBVO,1:40:45 PM,62.2,273.3,EXTRA_AT_HOME,0.0,13,Morning,2,4.0,257.1,279.5
4.0,2.0,2.0,S,STANDARD,1YEAR,HETS,8:31:19 PM,821.0,222.1,TNT_POST_NL,1.0,20,Afternoon,2,8.0,157.4,169.7
2.0,2.0,,M,STANDARD,1YEAR,PBVO,8:18:37 PM,799.0,336.5,EXTRA_AT_HOME,0.0,20,Afternoon,2,4.0,257.1,279.5
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,11:24:54 AM,16.8,122.6,TNT_POST_NL,0.0,11,Morning,2,2.0,148.9,169.7
13.0,8.0,5.0,XL,STANDARD,1YEAR,VOLU,9:26:41 AM,22.6,265.8,EXTRA_AT_HOME,1.6,9,Morning,2,26.0,266.4,279.5
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,2:37:45 PM,365.3,159.9,TNT_POST_NL,0.0,14,Morning,2,2.0,148.9,169.7
4.0,1.0,3.0,L,PACKSIZE,6MONTH,HETE,3:37:40 PM,242.9,228.2,TNT_POST_NL,0.3333333333333333,15,Morning,1,4.0,196.05,169.7
4.0,2.0,2.0,M,STANDARD,1YEAR,HETS,9:57:39 AM,142.7,252.1,BPOST,1.0,9,Morning,2,8.0,157.4,178.7
1.0,1.0,,M,PACKSIZE,1YEAR,MHET,8:28:43 PM,685.2,187.6,CC_LOG,0.0,20,Afternoon,2,2.0,148.9,170.45
4.0,4.0,,XL,STANDARD,6MONTH,PBVO,10:44:54 AM,173.4,221.4,TNT_POST_NL,0.0,10,Morning,1,4.0,257.1,169.7
5.0,2.0,3.0,L,PACKSIZE,2YEAR,HETE,9:04:02 AM,138.3,192.4,TNT_POST_NL,0.6666666666666666,9,Morning,3,15.0,196.05,169.7
1.0,1.0,,L,STANDARD,6MONTH,MHET,3:21:39 PM,110.2,146.4,TNT_POST_NL,0.0,15,Morning,1,1.0,148.9,169.7
3.0,1.0,2.0,S,STANDARD,1YEAR,HETS,2:17:12 PM,333.6,122.4,TNT_POST_NL,0.5,14,Morning,2,6.0,157.4,169.7
6.0,6.0,,L,PACKSIZE,1YEAR,PB90,9:46:31 AM,38.6,333.2,BPOST,0.0,9,Morning,2,12.0,223.4,178.7
2.0,1.0,1.0,S,STANDARD,6MONTH,HETS,5:17:24 PM,37.5,182.0,BPOST,1.0,17,Afternoon,1,2.0,157.4,178.7
27.0,16.0,11.0,XL,STANDARD,6MONTH,VOLU,10:52:30 AM,265.8,279.8,EXTRA_AT_HOME,1.4545454545454546,10,Morning,1,27.0,266.4,279.5
2.0,1.0,1.0,M,STANDARD,1YEAR,PBVO,11:17:21 AM,340.6,205.6,EXTRA_AT_HOME,0.0,11,Morning,2,4.0,257.1,279.5
2.0,1.0,1.0,S,STANDARD,1YEAR,HETS,8:23:42 AM,69.0,85.4,CC_LOG,1.0,8,Morning,2,4.0,157.4,170.45
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,7:16:20 PM,22.5,135.8,BPOST,0.0,19,Afternoon,2,2.0,148.9,178.7
1.0,1.0,,L,PACKSIZE,1YEAR,MHET,7:24:27 PM,19.6,127.1,TNT_POST_NL,0.0,19,Afternoon,2,2.0,148.9,169.7
1.0,1.0,,L,STANDARD,1YEAR,MHET,5:39:57 PM,42.7,136.2,DHL,0.0,17,Afternoon,2,2.0,148.9,186.1
6.0,3.0,3.0,M,STANDARD,1YEAR,HETS,10:44:04 AM,86.0,180.2,TNT_POST_NL,1.0,10,Morning,2,12.0,157.4,169.7
2.0,2.0,,L,PACKSIZE,1YEAR,PB90,11:43:51 AM,169.2,257.3,TNT_POST_NL,0.0,11,Morning,2,4.0,223.4,169.7
2.0,1.0,1.0,XL,PACKSIZE,1YEAR,HETE,2:03:58 PM,36.8,175.2,TNT_POST_NL,1.0,14,Morning,2,4.0,196.05,169.7
4.0,2.0,2.0,XL,STANDARD,2YEAR,VOLU,11:00:43 AM,219.3,272.3,EXTRA_AT_HOME,1.0,11,Morning,3,12.0,266.4,279.5
3.0,3.0,,XL,STANDARD,1YEAR,PBVO,9:11:10 AM,38.0,280.2,CC_LOG,0.0,9,Morning,2,6.0,257.1,170.45
2.0,1.0,1.0,XL,STANDARD,1YEAR,VOLU,11:41:38 AM,253.7,147.8,TNT_POST_NL,1.0,11,Morning,2,4.0,266.4,169.7
3.0,1.0,2.0,S,STANDARD,6MONTH,HETS,4:24:03 PM,1111.4,109.2,TNT_POST_NL,0.5,16,Afternoon,1,3.0,157.4,169.7
5.0,2.0,3.0,M,STANDARD,1YEAR,HETS,3:02:12 PM,1198.4,122.1,BPOST,0.6666666666666666,15,Morning,2,10.0,157.4,178.7
6.0,2.0,4.0,L,STANDARD,1YEAR,HETE,4:46:39 PM,161.3,111.9,CHRONOPOSTAPI,0.5,16,Afternoon,2,12.0,196.05,186.5
2.0,1.0,1.0,L,PACKSIZE,1YEAR,HETE,2:20:13 PM,226.1,149.1,CHRONOPOSTAPI,1.0,14,Morning,2,4.0,196.05,186.5
1.0,1.0,,L,STANDARD,2YEAR,MHET,12:11:02 PM,161.3,120.5,TNT_POST_NL,0.0,12,Morning,3,3.0,148.9,169.7
1.0,1.0,,L,STANDARD,1YEAR,MHET,7:37:00 PM,42.0,73.5,TNT_POST_NL,0.0,19,Afternoon,2,2.0,148.9,169.7
3.0,1.0,2.0,M,PACKSIZE,3-5YEAR,HETE,11:04:26 AM,152.8,100.7,TNT_POST_NL,0.5,11,Morning,4,12.0,196.05,169.7
2.0,1.0,1.0,XL,STANDARD,6MONTH,VOLU,5:49:14 PM,279.6,340.4,BPOST,1.0,17,Afternoon,1,2.0,266.4,178.7
2.0,1.0,1.0,XL,STANDARD,6MONTH,VOLU,8:51:21 PM,739.3,409.5,EXTRA_AT_HOME,1.0,20,Afternoon,1,2.0,266.4,279.5
14.0,8.0,6.0,XL,STANDARD,1YEAR,VOLU,12:05:01 PM,84.0,239.3,DHL,1.3333333333333333,12,Morning,2,28.0,266.4,186.1
